Year,Month,Day,AverageDailyPrecipitation[mm/d],AverageDailyStreamflow[m^3/s],AverageDailyTemperature[°C]
1991,5,4,0,36.8979606188889,10.6904
1991,5,5,0,35.5869024904167,12.1957
1991,5,6,0,33.2204904173611,10.8258
1991,5,7,0,31.8980761649537,13.0673
1991,5,8,1.16126,31.3849452390509,10.7998
1991,5,9,0,30.3081550155787,10.52
1991,5,10,0.0234076,29.4070657208565,11.8113
1991,5,11,0,28.1775420103009,12.1957
1991,5,12,0,25.9789198583102,13.9911
1991,5,13,0,23.6807721257639,16.0989
1991,5,14,0,21.7055083439815,18.0202
1991,5,15,0,20.3295033943519,19.2154
1991,5,16,0,19.4728816186343,19.0547
1991,5,17,0,18.3009679075926,17.8425
1991,5,18,0,16.5842792399074,18.2237
1991,5,19,0,15.3543727386574,17.8821
1991,5,20,0,14.1134291057176,18.8159
1991,5,21,0,12.2658898189815,18.8178
1991,5,22,0,10.3380282848611,19.0418
1991,5,23,0,8.63384411319444,20.6816
1991,5,24,0,7.23755125675926,22.3144
1991,5,25,0,5.93175012049074,21.7677
1991,5,26,0,5.08788165474306,21.6575
1991,5,27,0,4.75275478160185,21.8807
1991,5,28,0,5.09114813533565,21.9741
1991,5,29,0.70592,6.75446940037037,21.4604
1991,5,30,1.16159,9.15501364368056,18.7724
1991,5,31,3.47189,10.6983619252315,17.6041
1991,6,1,7.08111,11.2497719205787,17.5862
1991,6,2,6.28544,13.9960399594213,18.1781
1991,6,3,0.103572,17.1685454365278,18.9542
1991,6,4,0.0121321,14.8409228205093,19.1687
1991,6,5,0,12.449756949213,18.9379
1991,6,6,0.00126856,12.1873539281713,19.9399
1991,6,7,0.0741469,12.148309277338,18.1011
1991,6,8,0,10.0767736359028,19.6874
1991,6,9,0,6.51209909233796,22.6035
1991,6,10,0,4.65416065840278,22.6615
1991,6,11,0,3.10790954741898,22.832
1991,6,12,0,2.21413155496065,25.2488
1991,6,13,0,2.11426146278009,26.6969
1991,6,14,0,1.99061368862963,27.2827
